lon,lat,bounds,time,lwe_thickness,land_mask
116.25,39.75,0,2018-10-31 12:00:00,-25.295893280248897,1.0
116.25,39.75,0,2018-11-16 00:00:00,-23.71859809611346,1.0
116.25,39.75,0,2018-12-16 12:00:00,-26.03179833148028,1.0
116.25,39.75,0,2019-01-16 12:00:00,-27.012706844549434,1.0
116.25,39.75,0,2019-02-14 00:00:00,-27.14085003588702,1.0
116.25,39.75,0,2019-03-16 12:00:00,-27.43094727252032,1.0
116.25,39.75,0,2019-04-16 00:00:00,-24.751941411237972,1.0
116.25,39.75,0,2019-05-16 12:00:00,-24.609532801847713,1.0
116.25,39.75,0,2019-06-16 00:00:00,-27.982690422277706,1.0
116.25,39.75,0,2019-07-16 12:00:00,-28.326763837080257,1.0
116.25,39.75,0,2019-08-16 12:00:00,-27.418827025633114,1.0
116.25,39.75,0,2019-09-16 00:00:00,-29.18800625060107,1.0
116.25,39.75,0,2019-10-16 12:00:00,-29.997095434408443,1.0
116.25,39.75,0,2019-11-16 00:00:00,-30.20946940634753,1.0
116.25,39.75,0,2019-12-16 12:00:00,-32.913643805723446,1.0
116.25,39.75,0,2020-01-16 12:00:00,-30.944431631307857,1.0
116.25,39.75,0,2020-02-15 12:00:00,-32.88067266200091,1.0
116.25,39.75,0,2020-03-16 12:00:00,-33.056217162351864,1.0
116.25,39.75,0,2020-04-16 00:00:00,-32.27164265368487,1.0
116.25,39.75,0,2020-05-16 12:00:00,-35.082186190824764,1.0
116.25,39.75,0,2020-06-16 00:00:00,-36.58536907885577,1.0
116.25,39.75,0,2020-07-16 12:00:00,-35.02592632029559,1.0
116.25,39.75,0,2020-08-16 12:00:00,-32.17986735556628,1.0
116.25,39.75,0,2020-09-16 00:00:00,-26.91176399443652,1.0
116.25,39.75,0,2020-10-16 12:00:00,-29.569989649992245,1.0
116.25,39.75,0,2020-11-16 00:00:00,-31.176013438444393,1.0
116.25,39.75,0,2020-12-16 12:00:00,-29.93274149153735,1.0
116.25,39.75,0,2021-01-16 12:00:00,-29.389859287481563,1.0
116.25,39.75,0,2021-02-15 00:00:00,-32.307092516165035,1.0
116.25,39.75,0,2021-03-16 12:00:00,-30.144224016409176,1.0
116.25,39.75,0,2021-04-16 00:00:00,-29.2100059673598,1.0
116.25,39.75,0,2021-05-16 12:00:00,-31.801259247999447,1.0
116.25,39.75,0,2021-06-16 00:00:00,-32.1855337307265,1.0
116.25,39.75,0,2021-07-16 12:00:00,-28.323638050298946,1.0
116.25,39.75,0,2021-08-16 12:00:00,-21.46726378653552,1.0
116.25,39.75,0,2021-09-16 00:00:00,-20.025762884359615,1.0
116.25,39.75,0,2021-10-16 12:00:00,-14.36790093634631,1.0
116.25,39.75,0,2021-11-16 00:00:00,-14.225347845297115,1.0
116.25,39.75,0,2021-12-16 12:00:00,-16.047149805765407,1.0
116.25,39.75,0,2022-01-16 12:00:00,-14.535764245729702,1.0
116.25,39.75,0,2022-02-15 00:00:00,-14.523519663553493,1.0
116.25,39.75,0,2022-03-16 12:00:00,-15.951012639742153,1.0
116.25,39.75,0,2022-04-16 00:00:00,-14.083182720880764,1.0
116.25,39.75,0,2022-05-16 12:00:00,-19.545212714414852,1.0
116.25,39.75,0,2022-06-16 00:00:00,-20.8584354803374,1.0
116.25,39.75,0,2022-07-16 12:00:00,-15.961466817598598,1.0
116.25,39.75,0,2022-08-16 12:00:00,-12.784886626940029,1.0
116.25,39.75,0,2022-09-16 00:00:00,-13.465239612798946,1.0
116.25,39.75,0,2022-10-16 12:00:00,-16.40612456057574,1.0
116.25,39.75,0,2022-11-16 00:00:00,-15.363582639436977,1.0
116.25,39.75,0,2022-12-16 12:00:00,-12.89311483357455,1.0
116.25,39.75,0,2023-01-16 12:00:00,-15.801331131201046,1.0
116.25,39.75,0,2023-02-15 00:00:00,-16.3434430644324,1.0
116.25,39.75,0,2023-03-16 12:00:00,-14.695111720304745,1.0
116.25,39.75,0,2023-04-16 00:00:00,-15.966456799249904,1.0
116.25,39.75,0,2023-05-16 12:00:00,-15.10439869616534,1.0
